"","year","country_code","code_2","country","region","eu_member","egov_index","epar_index","online_ser_index","hum_cap_index","telcom_infra_index"
"41","2010","ESP","ES","Spain","Southern","EU",0.75156,0.82857,0.76507,0.9792,0.51
"42","2010","FRA","FR","France","Continental","EU",0.75103,0.6,0.68253,0.97723,0.59539
"43","2010","GRC","GR","Greece","Southern","EU",0.57075,0.25714,0.35555,0.98036,0.38287
"44","2010","HUN","HU","Hungary","Eastern","EU",0.63147,0.31428,0.50476,0.9597,0.4338
"45","2010","ISL","IS","Iceland","Nordic","Non-EU",0.66971,0.04285,0.39682,0.9811,0.63948
"46","2010","CHE","CH","Switzerland","Continental","Non-EU",0.7136,0.2,0.44444,0.9358,0.76872
"47","2010","GBR","GB","United Kingdom","Anglo-Saxon","EU",0.81466,0.77142,0.7746,0.95423,0.71637
"48","2010","SVK","SK","Slovak Republic","Eastern","EU",0.56387,0.07142,0.34603,0.931,0.42118
"49","2012","IRL","IE","Ireland","Anglo-Saxon","EU",0.71492,0.1316,0.53594,0.9535,0.65533
"50","2012","ITA","IT","Italy","Southern","EU",0.71895,0.2632,0.57516,0.91203,0.66966
"51","2012","LVA","LV","Latvia","Eastern","EU",0.6604,0.2105,0.58823,0.88787,0.50509
"52","2012","LTU","LT","Lithuania","Eastern","EU",0.73329,0.5263,0.69934,0.92401,0.57652
"53","2012","LUX","LU","Luxembourg","Continental","EU",0.80135,0.3947,0.69934,0.84035,0.86437
"54","2012","EST","EE","Estonia","Eastern","EU",0.79873,0.7632,0.82352,0.90847,0.66421
"55","2012","POL","PL","Poland","Eastern","EU",0.64414,0.1842,0.53594,0.90435,0.49211
"56","2012","PRT","PT","Portugal","Southern","EU",0.7165,0.3684,0.65359,0.8931,0.60281
"57","2012","ROU","RO","Romania","Eastern","EU",0.60595,0.0789,0.51633,0.87829,0.42322
"58","2012","AUT","AT","Austria","Continental","EU",0.78395,0.3684,0.74509,0.90907,0.69769
"59","2012","BEL","BE","Belgium","Continental","EU",0.77181,0.1316,0.64705,0.92641,0.74198
"60","2012","BGR","BG","Bulgaria","Eastern","EU",0.61315,0.0263,0.49019,0.84864,0.50062
"61","2012","HRV","HR","Croatia","Eastern","EU",0.73284,0.2895,0.64052,0.86152,0.69649
"62","2012","CYP","CY","Cyprus","Southern","EU",0.65081,0.0789,0.56209,0.87509,0.51526
"63","2012","CZE","CZ","Czech Republic","Eastern","EU",0.64914,0.2632,0.54248,0.88984,0.51511
"64","2012","FIN","FI","Finland","Nordic","EU",0.85052,0.7368,0.88235,0.9467,0.7225
"65","2012","ESP","ES","Spain","Southern","EU",0.77696,0.5,0.75816,0.94091,0.63179
"66","2012","FRA","FR","France","Continental","EU",0.86349,0.5789,0.87581,0.92442,0.79024
"67","2012","GRC","GR","Greece","Southern","EU",0.68716,0.3421,0.57516,0.93317,0.55314
"68","2012","HUN","HU","Hungary","Eastern","EU",0.72014,0.4474,0.68627,0.9065,0.56766
"69","2012","ISL","IS","Iceland","Nordic","Non-EU",0.78354,0.1579,0.54248,0.93099,0.87716
"70","2012","CHE","CH","Switzerland","Continental","Non-EU",0.81341,0.3421,0.6732,0.88881,0.87823
"71","2012","GBR","GB","United Kingdom","Anglo-Saxon","EU",0.89603,0.9211,0.97385,0.90074,0.81351
"72","2012","SVK","SK","Slovak Republic","Eastern","EU",0.62918,0.1316,0.50326,0.86957,0.5147
"73","2014","IRL","IE","Ireland","Anglo-Saxon","EU",0.781,0.64705,0.67716,0.9619,0.70391
"74","2014","ITA","IT","Italy","Southern","EU",0.7593,0.78431,0.74803,0.8552,0.67473
"75","2014","LVA","LV","Latvia","Eastern","EU",0.71775,0.70588,0.70078,0.8288,0.62367
"76","2014","LTU","LT","Lithuania","Eastern","EU",0.72709,0.64705,0.7559,0.8557,0.56968
"77","2014","LUX","LU","Luxembourg","Continental","EU",0.75911,0.54901,0.62204,0.783,0.87225
"78","2014","EST","EE","Estonia","Eastern","EU",0.81796,0.7647,0.77165,0.8889,0.79337
"79","2014","POL","PL","Poland","Eastern","EU",0.64822,0.49019,0.5433,0.8396,0.56182
"80","2014","PRT","PT","Portugal","Southern","EU",0.68996,0.64705,0.63779,0.8227,0.60943
"81","2014","ROU","RO","Romania","Eastern","EU",0.56315,0.47058,0.44094,0.81,0.43854
"82","2014","AUT","AT","Austria","Continental","EU",0.79124,0.62745,0.74803,0.866,0.75972
"83","2014","BEL","BE","Belgium","Continental","EU",0.75638,0.62745,0.67716,0.8932,0.6988
"84","2014","BGR","BG","Bulgaria","Eastern","EU",0.54209,0.2549,0.23622,0.796,0.59406
"85","2014","HRV","HR","Croatia","Eastern","EU",0.62817,0.33333,0.46456,0.7928,0.62711
"86","2014","CYP","CY","Cyprus","Southern","EU",0.59576,0.31372,0.47244,0.7828,0.53203
"87","2014","CZE","CZ","Czech Republic","Eastern","EU",0.60695,0.2549,0.37007,0.8755,0.57532
"88","2014","FIN","FI","Finland","Nordic","EU",0.84491,0.70588,0.77165,0.9037,0.8594
"89","2014","ESP","ES","Spain","Southern","EU",0.84098,0.78431,0.94488,0.9152,0.66288
"90","2014","FRA","FR","France","Continental","EU",0.89384,0.96078,1,0.8812,0.80029
"91","2014","GRC","GR","Greece","Southern","EU",0.71176,0.80392,0.60629,0.8741,0.65487
"92","2014","HUN","HU","Hungary","Eastern","EU",0.66374,0.45098,0.55905,0.8668,0.56536
"93","2014","ISL","IS","Iceland","Nordic","Non-EU",0.797,0.49019,0.61417,0.9178,0.85906
"94","2014","CHE","CH","Switzerland","Continental","Non-EU",0.7267,0.37254,0.50393,0.8562,0.81992
"95","2014","GBR","GB","United Kingdom","Anglo-Saxon","EU",0.86948,0.96078,0.89763,0.8574,0.8534
"96","2014","SVK","SK","Slovak Republic","Eastern","EU",0.61478,0.62745,0.48818,0.8265,0.52963
"97","2016","IRL","IE","Ireland","Anglo-Saxon","EU",0.76888,0.71186,0.72464,0.92185,0.66015
"98","2016","ITA","IT","Italy","Southern","EU",0.77636,0.91525,0.86957,0.81261,0.64691
"99","2016","LVA","LV","Latvia","Eastern","EU",0.681,0.52542,0.6087,0.8512,0.58311
"100","2016","LTU","LT","Lithuania","Eastern","EU",0.77467,0.83051,0.82609,0.87174,0.62619
"101","2016","LUX","LU","Luxembourg","Continental","EU",0.77046,0.69492,0.71739,0.77502,0.81898
"102","2016","EST","EE","Estonia","Eastern","EU",0.83344,0.81356,0.8913,0.87608,0.73295
"103","2016","POL","PL","Poland","Eastern","EU",0.72108,0.88136,0.7029,0.87465,0.58568
"104","2016","PRT","PT","Portugal","Southern","EU",0.71437,0.66102,0.74638,0.81294,0.58379
"105","2016","ROU","RO","Romania","Eastern","EU",0.56114,0.62712,0.45652,0.77361,0.45329
"106","2016","AUT","AT","Austria","Continental","EU",0.82081,0.88136,0.91304,0.83959,0.70981
"107","2016","BEL","BE","Belgium","Continental","EU",0.7874,0.64407,0.71014,0.97124,0.68083
"108","2016","BGR","BG","Bulgaria","Eastern","EU",0.63764,0.69492,0.56522,0.78747,0.56023
"109","2016","HRV","HR","Croatia","Eastern","EU",0.71624,0.77966,0.74638,0.80498,0.59735
"110","2016","CYP","CY","Cyprus","Southern","EU",0.60226,0.52542,0.53623,0.7782,0.49234
"111","2016","CZE","CZ","Czech Republic","Eastern","EU",0.64537,0.55932,0.47826,0.86266,0.59518
"112","2016","FIN","FI","Finland","Nordic","EU",0.88168,0.91525,0.94203,0.94399,0.75903
"113","2016","ESP","ES","Spain","Southern","EU",0.8135,0.9322,0.91304,0.87821,0.64926
"114","2016","FRA","FR","France","Continental","EU",0.84559,0.89831,0.94203,0.84452,0.75021
"115","2016","GRC","GR","Greece","Southern","EU",0.691,0.61017,0.57971,0.89012,0.60318
"116","2016","HUN","HU","Hungary","Eastern","EU",0.67455,0.49153,0.63043,0.8317,0.5615
"117","2016","ISL","IS","Iceland","Nordic","Non-EU",0.76619,0.66102,0.62319,0.89401,0.78137
"118","2016","CHE","CH","Switzerland","Continental","Non-EU",0.75246,0.57627,0.60145,0.85794,0.79799
"119","2016","GBR","GB","United Kingdom","Anglo-Saxon","EU",0.91928,1,1,0.94018,0.81766
"120","2016","SVK","SK","Slovak Republic","Eastern","EU",0.59154,0.54237,0.44203,0.78223,0.55036
"121","2018","IRL","IE","Ireland","Anglo-Saxon","EU",0.8287,0.9326,0.8264,0.9626,0.697
"122","2018","ITA","IT","Italy","Southern","EU",0.8209,0.9551,0.9514,0.8341,0.6771
"123","2018","LVA","LV","Latvia","Eastern","EU",0.6996,0.6854,0.6667,0.8132,0.6188
"124","2018","LTU","LT","Lithuania","Eastern","EU",0.7534,0.8034,0.7986,0.8323,0.6293
"125","2018","LUX","LU","Luxembourg","Continental","EU",0.8334,0.9382,0.9236,0.7803,0.7964
"126","2018","EST","EE","Estonia","Eastern","EU",0.8486,0.9101,0.9028,0.8818,0.7613
"127","2018","POL","PL","Poland","Eastern","EU",0.7926,0.8933,0.9306,0.8668,0.5805
"128","2018","PRT","PT","Portugal","Southern","EU",0.8031,0.8989,0.9306,0.817,0.6617
"129","2018","ROU","RO","Romania","Eastern","EU",0.6671,0.7079,0.6597,0.7944,0.5471
"130","2018","AUT","AT","Austria","Continental","EU",0.8301,0.8258,0.8681,0.8505,0.7716
"131","2018","BEL","BE","Belgium","Continental","EU",0.808,0.7584,0.7569,0.974,0.693
"132","2018","BGR","BG","Bulgaria","Eastern","EU",0.7177,0.8708,0.7639,0.8106,0.5785
"133","2018","HRV","HR","Croatia","Eastern","EU",0.7018,0.7697,0.6806,0.8196,0.6051
"134","2018","CYP","CY","Cyprus","Southern","EU",0.7736,0.8202,0.7847,0.8083,0.7279
"135","2018","CZE","CZ","Czech Republic","Eastern","EU",0.7084,0.618,0.6528,0.8752,0.5971
"136","2018","FIN","FI","Finland","Nordic","EU",0.8815,1,0.9653,0.9509,0.7284
"137","2018","ESP","ES","Spain","Southern","EU",0.8415,0.9831,0.9375,0.8885,0.6986
"138","2018","FRA","FR","France","Continental","EU",0.879,0.9663,0.9792,0.8598,0.7979
"139","2018","GRC","GR","Greece","Southern","EU",0.7833,0.8764,0.8194,0.8867,0.6439
"140","2018","HUN","HU","Hungary","Eastern","EU",0.7265,0.7079,0.7361,0.8364,0.6071
"141","2018","ISL","IS","Iceland","Nordic","Non-EU",0.8316,0.6854,0.7292,0.9365,0.8292
"142","2018","CHE","CH","Switzerland","Continental","Non-EU",0.852,0.8427,0.8472,0.866,0.8428
"143","2018","GBR","GB","United Kingdom","Anglo-Saxon","EU",0.8999,0.9831,0.9792,0.92,0.8004
"144","2018","SVK","SK","Slovak Republic","Eastern","EU",0.7155,0.809,0.7361,0.8141,0.5964
